"cohort","membership_age","num_active","num_users","membership_age_in_breach","activity_name"
4,13,412,1403,23,"Searches"
4,14,405,1403,23,"Searches"
4,15,364,1403,23,"Searches"
4,16,369,1403,23,"Searches"
4,17,347,1403,23,"Searches"
4,18,366,1403,23,"Searches"
4,19,358,1403,23,"Searches"
4,20,351,1403,23,"Searches"
4,21,344,1403,23,"Searches"
4,22,325,1403,23,"Searches"
4,23,317,1403,23,"Searches"
4,24,281,1403,23,"Searches"
4,25,269,1403,23,"Searches"
5,0,808,1497,22,"Searches"
5,1,927,1497,22,"Searches"
5,2,804,1497,22,"Searches"
5,3,739,1497,22,"Searches"
5,4,640,1497,22,"Searches"
5,5,624,1497,22,"Searches"
5,6,592,1497,22,"Searches"
5,7,575,1497,22,"Searches"
5,8,520,1497,22,"Searches"
5,9,491,1497,22,"Searches"
5,10,495,1497,22,"Searches"
5,11,442,1497,22,"Searches"
5,12,446,1497,22,"Searches"
5,13,465,1497,22,"Searches"
5,14,410,1497,22,"Searches"
5,15,384,1497,22,"Searches"
5,16,404,1497,22,"Searches"
5,17,383,1497,22,"Searches"
5,18,369,1497,22,"Searches"
5,19,345,1497,22,"Searches"
5,20,353,1497,22,"Searches"
5,21,323,1497,22,"Searches"
5,22,356,1497,22,"Searches"
5,23,300,1497,22,"Searches"
5,24,269,1497,22,"Searches"
6,0,764,1394,21,"Searches"
6,1,844,1394,21,"Searches"
6,2,687,1394,21,"Searches"
6,3,586,1394,21,"Searches"
6,4,547,1394,21,"Searches"
6,5,516,1394,21,"Searches"
6,6,481,1394,21,"Searches"
6,7,468,1394,21,"Searches"
6,8,426,1394,21,"Searches"
6,9,419,1394,21,"Searches"
6,10,412,1394,21,"Searches"
6,11,373,1394,21,"Searches"
6,12,369,1394,21,"Searches"
6,13,371,1394,21,"Searches"
6,14,361,1394,21,"Searches"
6,15,348,1394,21,"Searches"
6,16,348,1394,21,"Searches"
6,17,345,1394,21,"Searches"
6,18,310,1394,21,"Searches"
6,19,327,1394,21,"Searches"
6,20,330,1394,21,"Searches"
6,21,307,1394,21,"Searches"
6,22,265,1394,21,"Searches"
6,23,270,1394,21,"Searches"
7,0,820,1488,20,"Searches"
7,1,935,1488,20,"Searches"
7,2,763,1488,20,"Searches"
7,3,701,1488,20,"Searches"
7,4,623,1488,20,"Searches"
7,5,589,1488,20,"Searches"
7,6,550,1488,20,"Searches"
7,7,506,1488,20,"Searches"
7,8,463,1488,20,"Searches"
7,9,438,1488,20,"Searches"
7,10,409,1488,20,"Searches"
7,11,378,1488,20,"Searches"
7,12,350,1488,20,"Searches"
7,13,364,1488,20,"Searches"
7,14,341,1488,20,"Searches"
7,15,336,1488,20,"Searches"
7,16,300,1488,20,"Searches"
7,17,313,1488,20,"Searches"
7,18,287,1488,20,"Searches"
7,19,318,1488,20,"Searches"
7,20,290,1488,20,"Searches"
7,21,273,1488,20,"Searches"
7,22,268,1488,20,"Searches"
8,0,811,1409,19,"Searches"
8,1,928,1409,19,"Searches"
8,2,756,1409,19,"Searches"
8,3,692,1409,19,"Searches"
8,4,635,1409,19,"Searches"
8,5,602,1409,19,"Searches"
8,6,558,1409,19,"Searches"
8,7,508,1409,19,"Searches"
8,8,469,1409,19,"Searches"
8,9,454,1409,19,"Searches"
8,10,428,1409,19,"Searches"
8,11,425,1409,19,"Searches"
8,12,437,1409,19,"Searches"
8,13,409,1409,19,"Searches"
8,14,403,1409,19,"Searches"
8,15,395,1409,19,"Searches"
8,16,369,1409,19,"Searches"
8,17,393,1409,19,"Searches"
8,18,363,1409,19,"Searches"
8,19,338,1409,19,"Searches"
8,20,304,1409,19,"Searches"
8,21,287,1409,19,"Searches"
9,0,754,1392,18,"Searches"
9,1,861,1392,18,"Searches"
9,2,729,1392,18,"Searches"
9,3,652,1392,18,"Searches"
9,4,610,1392,18,"Searches"
9,5,562,1392,18,"Searches"
9,6,532,1392,18,"Searches"
9,7,497,1392,18,"Searches"
